"dist_m","elevation_m","section","elv_chg_m","dist_chg_m","slope"
0,889.444030761719,"pct_sec_a1",NA,0,NA
42.7209297633617,883.165283203125,"pct_sec_a1",-6.27874755859398,42.7209297633617,-0.083609735151836
85.4418595267235,877.986022949219,"pct_sec_a1",-5.17926025390602,42.7209297633618,-0.0691250357340125
128.162789290085,874.403503417969,"pct_sec_a1",-3.58251953125,42.7209297633615,-0.0479353128713815
170.883719053447,870.900146484375,"pct_sec_a1",-3.50335693359398,42.720929763362,-0.0468808650023273
213.604648816809,870.523681640625,"pct_sec_a1",-0.37646484375,42.720929763362,-0.00504888084001442
256.32557858017,867.116149902344,"pct_sec_a1",-3.40753173828102,42.720929763361,-0.0456040456138946
299.046508343532,864.143737792969,"pct_sec_a1",-2.972412109375,42.7209297633621,-0.0398007829154892
341.767438106894,862.816040039062,"pct_sec_a1",-1.32769775390693,42.720929763362,-0.0178008767002716
384.488367870256,860.344421386719,"pct_sec_a1",-2.47161865234307,42.720929763362,-0.0331115525900821
427.209297633617,857.770874023438,"pct_sec_a1",-2.57354736328102,42.720929763361,-0.0344738334742851
469.930227396979,854.222900390625,"pct_sec_a1",-3.54797363281295,42.720929763362,-0.0474752002024509
512.651157160341,854.045288085938,"pct_sec_a1",-0.177612304687045,42.720929763362,-0.00238205883451938
555.372086923702,852.059692382812,"pct_sec_a1",-1.98559570312591,42.720929763361,-0.0266109468544945
598.093016687064,847.890930175781,"pct_sec_a1",-4.16876220703102,42.7209297633621,-0.0557334912342252
640.813946450426,844.747863769531,"pct_sec_a1",-3.14306640625,42.7209297633619,-0.0420778688209359
683.534876213788,839.635375976562,"pct_sec_a1",-5.11248779296898,42.7209297633621,-0.0682423149729758
726.255805977149,835.028869628906,"pct_sec_a1",-4.60650634765602,42.7209297633609,-0.0615430296879176
768.976735740511,831.211547851562,"pct_sec_a1",-3.81732177734398,42.7209297633621,-0.0510609442770507
811.697665503873,827.345458984375,"pct_sec_a1",-3.86608886718705,42.7209297633621,-0.0517097443399234
854.418595267235,824.07470703125,"pct_sec_a1",-3.270751953125,42.7209297633619,-0.043780744701291
897.139525030596,822.796508789062,"pct_sec_a1",-1.27819824218795,42.720929763361,-0.0171376240204895
939.860454793958,821.960510253906,"pct_sec_a1",-0.835998535156023,42.7209297633619,-0.0112106818032737
982.58138455732,823.114013671875,"pct_sec_a1",1.15350341796898,42.7209297633621,0.015466616419941
1025.30231432068,824.218139648438,"pct_sec_a1",1.10412597656295,42.7209297633599,0.014804845981569
1068.02324408404,825.800720214844,"pct_sec_a1",1.58258056640602,42.7209297633601,0.0212153021592509
1110.7441738474,823.74365234375,"pct_sec_a1",-2.05706787109398,42.7209297633599,-0.027567364606258
1153.46510361077,819.212951660156,"pct_sec_a1",-4.53070068359398,42.7209297633701,-0.0605378471182238
1196.18603337413,820.179504394531,"pct_sec_a1",0.966552734375,42.7209297633599,0.0129608476054612
1238.90696313749,820.191528320312,"pct_sec_a1",0.0120239257810226,42.7209297633601,0.000161260577907857
1281.62789290085,817.344055175781,"pct_sec_a1",-2.84747314453102,42.7209297633599,-0.0381328859726757
1324.34882266421,815.321899414062,"pct_sec_a1",-2.02215576171898,42.7209297633601,-0.0271002007729162
1367.06975242758,813.855346679688,"pct_sec_a1",-1.46655273437409,42.7209297633699,-0.0196611586794969
1409.79068219094,811.972473144531,"pct_sec_a1",-1.88287353515693,42.7209297633601,-0.0252360929596304
1452.5116119543,814.817260742188,"pct_sec_a1",2.84478759765693,42.7209297633599,0.0380970275354713
1495.23254171766,817.709899902344,"pct_sec_a1",2.89263916015602,42.7209297633601,0.0387359146458366
1537.95347148102,810.221374511719,"pct_sec_a1",-7.488525390625,42.7209297633599,-0.0994233241591138
1580.67440124438,811.305847167969,"pct_sec_a1",1.08447265625,42.7209297633601,0.0145414355314894
1623.39533100775,805.454956054688,"pct_sec_a1",-5.85089111328102,42.7209297633699,-0.077984882661709
1666.11626077111,801.788269042969,"pct_sec_a1",-3.66668701171898,42.7209297633601,-0.0490560688777119
1708.83719053447,799.564697265625,"pct_sec_a1",-2.22357177734398,42.7209297633599,-0.0297948614702043
1751.55812029783,797.794311523438,"pct_sec_a1",-1.77038574218705,42.7209297633601,-0.0237302009151814
1794.27905006119,795.074768066406,"pct_sec_a1",-2.71954345703193,42.7209297633599,-0.0364243931057365
1836.99997982455,792.400817871094,"pct_sec_a1",-2.67395019531205,42.7209297633601,-0.0358153395951234
1879.72090958792,789.877990722656,"pct_sec_a1",-2.52282714843795,42.7209297633699,-0.0337960037948591
1922.44183935128,788.524841308594,"pct_sec_a1",-1.35314941406205,42.7209297633599,-0.0181418895150888
1965.16276911464,790.099670410156,"pct_sec_a1",1.57482910156205,42.7209297633601,0.0211114840648415
2007.883698878,791.375122070312,"pct_sec_a1",1.27545166015602,42.7209297633599,0.0171008207220765
2050.60462864136,793.568176269531,"pct_sec_a1",2.19305419921898,42.7209297633599,0.0293866613888659
2093.32555840472,794.21044921875,"pct_sec_a1",0.642272949218977,42.7209297633603,0.00861328564679507
2136.04648816809,793.59326171875,"pct_sec_a1",-0.6171875,42.7209297633699,-0.00827692169080228
2178.76741793145,797.114929199219,"pct_sec_a1",3.52166748046898,42.7209297633599,0.0471247905239393
2221.48834769481,797.362365722656,"pct_sec_a1",0.247436523437045,42.7209297633599,0.00331849284228448
2264.20927745817,796.157165527344,"pct_sec_a1",-1.20520019531205,42.7209297633603,-0.0161594269978927
2306.93020722153,797.159912109375,"pct_sec_a1",1.00274658203102,42.7209297633599,0.0134460087544268
