"distance_m","elevation_m","section","dist_chg_m"
64.0668584886747,2613.23217773438,"pct_sec_i1",64.0668584886747
128.133716977349,2613.09643554688,"pct_sec_i1",64.0668584886743
192.200575466024,2612.05932617188,"pct_sec_i1",64.066858488675
256.267433954699,2611.84521484375,"pct_sec_i1",64.066858488675
320.334292443373,2611.51123046875,"pct_sec_i1",64.066858488674
384.401150932048,2611.88916015625,"pct_sec_i1",64.066858488675
448.468009420723,2611.99389648438,"pct_sec_i1",64.066858488675
512.534867909397,2611.8515625,"pct_sec_i1",64.066858488674
576.601726398072,2610.86376953125,"pct_sec_i1",64.0668584886749
640.668584886747,2610.3642578125,"pct_sec_i1",64.0668584886751
704.735443375421,2611.3466796875,"pct_sec_i1",64.066858488674
768.802301864096,2611.09838867188,"pct_sec_i1",64.0668584886749
832.869160352771,2612.513671875,"pct_sec_i1",64.0668584886751
896.936018841446,2612.41870117188,"pct_sec_i1",64.0668584886749
961.00287733012,2615.32250976562,"pct_sec_i1",64.066858488674
1025.06973581879,2620.88232421875,"pct_sec_i1",64.0668584886699
1089.13659430747,2626.49633789062,"pct_sec_i1",64.0668584886801
1153.20345279614,2634.78784179688,"pct_sec_i1",64.0668584886701
1217.27031128482,2640.40649414062,"pct_sec_i1",64.0668584886801
1281.33716977349,2643.82275390625,"pct_sec_i1",64.0668584886698
1345.40402826217,2650.90356445312,"pct_sec_i1",64.0668584886801
1409.47088675084,2657.50903320312,"pct_sec_i1",64.0668584886701
1473.53774523952,2656.80224609375,"pct_sec_i1",64.0668584886801
1537.60460372819,2662.1533203125,"pct_sec_i1",64.0668584886701
1601.67146221687,2665.34985351562,"pct_sec_i1",64.0668584886798
1665.73832070554,2663.1328125,"pct_sec_i1",64.0668584886701
1729.80517919422,2659.89306640625,"pct_sec_i1",64.0668584886801
1793.87203768289,2649.60913085938,"pct_sec_i1",64.0668584886701
1857.93889617157,2639.95825195312,"pct_sec_i1",64.0668584886798
1922.00575466024,2634.69946289062,"pct_sec_i1",64.0668584886701
1986.07261314892,2624.2705078125,"pct_sec_i1",64.0668584886801
2050.13947163759,2615.74560546875,"pct_sec_i1",64.0668584886698
2114.20633012626,2618.18823242188,"pct_sec_i1",64.0668584886703
2178.27318861494,2620.17456054688,"pct_sec_i1",64.0668584886798
2242.34004710361,2621.21411132812,"pct_sec_i1",64.0668584886698
2306.40690559229,2627.94750976562,"pct_sec_i1",64.0668584886803
2370.47376408096,2638.78271484375,"pct_sec_i1",64.0668584886698
2434.54062256964,2651.328125,"pct_sec_i1",64.0668584886803
2498.60748105831,2665.50732421875,"pct_sec_i1",64.0668584886698
2562.67433954699,2679.77221679688,"pct_sec_i1",64.0668584886798
2626.74119803566,2694.39404296875,"pct_sec_i1",64.0668584886703
2690.80805652434,2708.0322265625,"pct_sec_i1",64.0668584886798
2754.87491501301,2718.49047851562,"pct_sec_i1",64.0668584886703
2818.94177350169,2731.45556640625,"pct_sec_i1",64.0668584886798
2883.00863199036,2744.60375976562,"pct_sec_i1",64.0668584886698
2947.07549047904,2754.96728515625,"pct_sec_i1",64.0668584886803
3011.14234896771,2764.66674804688,"pct_sec_i1",64.0668584886698
3075.20920745638,2772.32543945312,"pct_sec_i1",64.0668584886703
3139.27606594506,2777.49072265625,"pct_sec_i1",64.0668584886798
3203.34292443373,2785.89965820312,"pct_sec_i1",64.0668584886698
3267.40978292241,2787.83178710938,"pct_sec_i1",64.0668584886803
3331.47664141108,2789.21630859375,"pct_sec_i1",64.0668584886698
3395.54349989976,2788.64501953125,"pct_sec_i1",64.0668584886798
3459.61035838843,2785.63671875,"pct_sec_i1",64.0668584886703
3523.67721687711,2783.46704101562,"pct_sec_i1",64.0668584886798
3587.74407536578,2776.5556640625,"pct_sec_i1",64.0668584886703
3651.81093385446,2775.59716796875,"pct_sec_i1",64.0668584886798
3715.87779234313,2777.37646484375,"pct_sec_i1",64.0668584886698
3779.94465083181,2781.09594726562,"pct_sec_i1",64.0668584886803
3844.01150932048,2784.546875,"pct_sec_i1",64.0668584886698
3908.07836780916,2788.22924804688,"pct_sec_i1",64.0668584886803
3972.14522629783,2791.98193359375,"pct_sec_i1",64.0668584886698
4036.2120847865,2793.04150390625,"pct_sec_i1",64.0668584886698
4100.27894327518,2791.71606445312,"pct_sec_i1",64.0668584886798
4164.34580176385,2794.77587890625,"pct_sec_i1",64.0668584886707
4228.41266025253,2790.40747070312,"pct_sec_i1",64.0668584886798
4292.4795187412,2790.07177734375,"pct_sec_i1",64.0668584886698
4356.54637722988,2786.0869140625,"pct_sec_i1",64.0668584886798
4420.61323571855,2785.00561523438,"pct_sec_i1",64.0668584886698
4484.68009420723,2794.4677734375,"pct_sec_i1",64.0668584886798
4548.7469526959,2806.01611328125,"pct_sec_i1",64.0668584886707
4612.81381118458,2807.15625,"pct_sec_i1",64.0668584886798
4676.88066967325,2819.96240234375,"pct_sec_i1",64.0668584886698
4740.94752816193,2835.90258789062,"pct_sec_i1",64.0668584886798
4805.0143866506,2850.9462890625,"pct_sec_i1",64.0668584886698
4869.08124513928,2857.14404296875,"pct_sec_i1",64.0668584886807
4933.14810362795,2869.48461914062,"pct_sec_i1",64.0668584886698
4997.21496211663,2880.46313476562,"pct_sec_i1",64.0668584886798
5061.2818206053,2891.87426757812,"pct_sec_i1",64.0668584886698
5125.34867909398,2901.75244140625,"pct_sec_i1",64.0668584886798
5189.41553758265,2907.11328125,"pct_sec_i1",64.0668584886707
5253.48239607132,2911.22290039062,"pct_sec_i1",64.0668584886698
