"distance_m","elevation_m"
0,1279.36218261719
75.1414025561308,1282.51354980469
150.282805112262,1273.57702636719
225.424207668392,1272.72570800781
300.565610224523,1266.29748535156
375.707012780654,1262.96740722656
450.848415336785,1256.79602050781
525.989817892916,1258.00915527344
601.131220449046,1256.724609375
676.272623005177,1252.61511230469
751.414025561308,1251.87036132812
826.555428117439,1247.55285644531
901.696830673569,1250.54089355469
976.8382332297,1253.50378417969
1051.97963578583,1258.97143554688
1127.12103834196,1262.14208984375
1202.26244089809,1260.83825683594
1277.40384345422,1262.16613769531
1352.54524601035,1262.43310546875
1427.68664856649,1264.10961914062
1502.82805112262,1270.4384765625
1577.96945367875,1272.84484863281
1653.11085623488,1278.44982910156
1728.25225879101,1278.27697753906
1803.39366134714,1284.11560058594
1878.53506390327,1299.09704589844
1953.6764664594,1310.033203125
2028.81786901553,1314.3525390625
2103.95927157166,1315.96313476562
2179.10067412779,1315.67309570312
2254.24207668392,1317.45532226562
2329.38347924005,1312.53723144531
2404.52488179619,1323.27526855469
2479.66628435232,1322.52331542969
2554.80768690845,1322.50695800781
2629.94908946458,1322.80651855469
2705.09049202071,1325.15563964844
2780.23189457684,1325.07165527344
2855.37329713297,1324.77124023438
2930.5146996891,1330.91052246094
3005.65610224523,1341.44970703125
3080.79750480136,1339.27526855469
3155.93890735749,1333.18737792969
3231.08030991362,1339.39892578125
3306.22171246975,1338.7255859375
3381.36311502589,1336.15954589844
3456.50451758202,1341.63916015625
3531.64592013815,1339.56420898438
3606.78732269428,1341.59948730469
3681.92872525041,1344.884765625
3757.07012780654,1345.05798339844
3832.21153036267,1347.70275878906
3907.3529329188,1357.05004882812
3982.49433547493,1363.20239257812
4057.63573803106,1369.79418945312
4132.77714058719,1380.36145019531
4207.91854314332,1384.28442382812
4283.05994569946,1386.52319335938
4358.20134825559,1392.85461425781
4433.34275081172,1398.39819335938
4508.48415336785,1403.68774414062
4583.62555592398,1411.84704589844
4658.76695848011,1415.2138671875
4733.90836103624,1417.8388671875
4809.04976359237,1427.13732910156
4884.1911661485,1431.43334960938
4959.33256870463,1436.271484375
5034.47397126076,1441.91760253906
5109.61537381689,1449.33520507812
5184.75677637302,1453.78332519531
5259.89817892915,1461.00927734375
5335.03958148529,1467.19165039062
5410.18098404142,1466.11791992188
5485.32238659755,1469.56591796875
5560.46378915368,1473.66967773438
5635.60519170981,1478.72729492188
5710.74659426594,1485.34692382812
5785.88799682207,1492.21789550781
5861.0293993782,1498.38024902344
5936.17080193433,1501.15441894531
6011.31220449046,1500.38159179688
6086.45360704659,1494.03918457031
6161.59500960272,1487.32788085938
6236.73641215886,1485.09680175781
6311.87781471499,1474.28271484375
6387.01921727112,1470.78527832031
6462.16061982725,1465.53076171875
6537.30202238338,1461.69201660156
6612.44342493951,1456.30578613281
6687.58482749564,1449.32397460938
6762.72623005177,1447.62512207031
6837.8676326079,1441.33276367188
6913.00903516403,1440.85473632812
6988.15043772016,1433.80346679688
7063.29184027629,1419.54821777344
7138.43324283242,1406.45153808594
7213.57464538855,1405.79565429688
7288.71604794469,1397.59777832031
