"distance_m","elevation_m"
0,1600.02062988281
55.5576109583954,1600.81286621094
111.115221916791,1602.84338378906
166.672832875186,1606.50988769531
222.230443833582,1620.56433105469
277.788054791977,1631.13073730469
333.345665750373,1635.11071777344
388.903276708768,1641.82177734375
444.460887667164,1646.64697265625
500.018498625559,1651.37548828125
555.576109583954,1662.33996582031
611.13372054235,1665.88256835938
666.691331500745,1667.11267089844
722.248942459141,1671.22497558594
777.806553417536,1676.693359375
833.364164375932,1680.18469238281
888.921775334327,1685.41674804688
944.479386292723,1690.97766113281
1000.03699725112,1697.92980957031
1055.59460820951,1701.81860351562
1111.15221916791,1707.861328125
1166.7098301263,1710.55505371094
1222.2674410847,1718.55334472656
1277.8250520431,1722.12658691406
1333.38266300149,1729.37268066406
1388.94027395989,1732.9580078125
1444.49788491828,1738.02087402344
1500.05549587668,1742.71130371094
1555.61310683507,1746.20764160156
1611.17071779347,1753.0126953125
1666.72832875186,1753.24072265625
1722.28593971026,1759.33825683594
1777.84355066865,1764.79248046875
1833.40116162705,1775.56616210938
1888.95877258545,1782.00903320312
1944.51638354384,1791.68994140625
2000.07399450224,1800.8984375
2055.63160546063,1805.94885253906
2111.18921641903,1812.18530273438
2166.74682737742,1817.951171875
2222.30443833582,1825.05712890625
2277.86204929421,1825.9931640625
2333.41966025261,1837.11267089844
2388.977271211,1837.27172851562
2444.5348821694,1844.87438964844
2500.0924931278,1852.14074707031
2555.65010408619,1859.86938476562
2611.20771504459,1864.70239257812
2666.76532600298,1868.95959472656
2722.32293696138,1874.58251953125
2777.88054791977,1880.74694824219
2833.43815887817,1881.34851074219
2888.99576983656,1879.70495605469
2944.55338079496,1877.69555664062
3000.11099175335,1879.93701171875
3055.66860271175,1879.82165527344
3111.22621367014,1881.68957519531
3166.78382462854,1885.91870117188
3222.34143558694,1885.85192871094
3277.89904654533,1883.0419921875
3333.45665750373,1883.56884765625
3389.01426846212,1879.56762695312
3444.57187942052,1882.75390625
3500.12949037891,1885.75524902344
3555.68710133731,1889.74633789062
3611.2447122957,1892.34289550781
3666.8023232541,1895.89147949219
3722.35993421249,1901.58422851562
3777.91754517089,1902.25756835938
3833.47515612929,1903.54455566406
3889.03276708768,1896.89416503906
3944.59037804608,1898.72033691406
4000.14798900447,1906.06750488281
4055.70559996287,1912.666015625
4111.26321092126,1915.56567382812
4166.82082187966,1920.99572753906
4222.37843283805,1925.80627441406
4277.93604379645,1926.3193359375
4333.49365475485,1927.10632324219
4389.05126571324,1930.12158203125
4444.60887667164,1927.0107421875
4500.16648763003,1925.99719238281
4555.72409858843,1933.3662109375
4611.28170954682,1929.42956542969
4666.83932050522,1924.36254882812
4722.39693146361,1928.89172363281
4777.95454242201,1940.3466796875
4833.5121533804,1941.92102050781
4889.0697643388,1945.52966308594
4944.62737529719,1947.57287597656
5000.18498625559,1954.15258789062
5055.74259721399,1961.78698730469
5111.30020817238,1967.47302246094
5166.85781913078,1976.16455078125
5222.41543008917,1979.16857910156
5277.97304104757,1983.31066894531
5333.53065200596,1983.98852539062
5389.08826296436,1988.71606445312
5444.64587392275,1993.67932128906
5500.20348488115,1999.19555664062
5555.76109583954,1996.23950195312
5611.31870679794,1997.26513671875
5666.87631775634,2004.62731933594
5722.43392871473,2007.373046875
5777.99153967313,2006.0390625
5833.54915063152,2010.32299804688
5889.10676158992,2010.40502929688
5944.66437254831,2008.34375
6000.22198350671,2007.03735351562
6055.7795944651,2010.88659667969
6111.3372054235,2015.21215820312
6166.89481638189,2010.861328125
6222.45242734029,2010.623046875
6278.01003829868,2017.68908691406
6333.56764925708,2015.37133789062
6389.12526021548,2010.28186035156
6444.68287117387,2007.63293457031
6500.24048213227,2011.5849609375
6555.79809309066,2007.84204101562
6611.35570404906,2005.31274414062
6666.91331500745,2000.96325683594
6722.47092596585,1996.73278808594
6778.02853692424,1998.52978515625
6833.58614788264,1999.00927734375
6889.14375884104,1996.8515625
6944.70136979943,1993.18371582031
7000.25898075783,1991.98303222656
7055.81659171622,1989.82019042969
7111.37420267462,1985.66735839844
7166.93181363301,1984.25256347656
7222.48942459141,1982.72888183594
7278.0470355498,1989.15283203125
7333.6046465082,1992.37329101562
7389.16225746659,1995.52307128906
7444.71986842499,1996.46997070312
7500.27747938339,1997.958984375
7555.83509034178,2007.45849609375
7611.39270130018,2015.40222167969
7666.95031225857,2007.99584960938
7722.50792321697,2006.01025390625
7778.06553417536,2007.25476074219
7833.62314513376,2004.23364257812
7889.18075609215,2002.76196289062
7944.73836705055,2008.67895507812
8000.29597800894,2007.69812011719
8055.85358896734,2006.43994140625
8111.41119992573,2012.10571289062
8166.96881088413,2016.88793945312
8222.52642184253,2018.64770507812
8278.08403280092,2021.77917480469
8333.64164375932,2030.57531738281
8389.19925471771,2044.94592285156
8444.75686567611,2050.7685546875
8500.3144766345,2060.3095703125
8555.8720875929,2067.38696289062
8611.42969855129,2075.62622070312
8666.98730950969,2076.58618164062
8722.54492046808,2081.5244140625
8778.10253142648,2079.45849609375
8833.66014238488,2084.126953125
8889.21775334327,2095.67065429688
8944.77536430167,2101.44409179688
9000.33297526006,2108.70385742188
9055.89058621846,2117.70141601562
9111.44819717685,2118.2900390625
9167.00580813525,2118.66284179688
9222.56341909364,2117.75341796875
9278.12103005204,2121.77416992188
9333.67864101043,2117.05249023438
9389.23625196883,2122.54760742188
9444.79386292722,2121.5849609375
9500.35147388562,2124.72998046875
9555.90908484402,2124.64379882812
9611.46669580241,2135.66918945312
9667.02430676081,2142.904296875
9722.5819177192,2143.50512695312
9778.1395286776,2147.70629882812
9833.69713963599,2158.08666992188
9889.25475059439,2166.59497070312
9944.81236155278,2173.26904296875
10000.3699725112,2182.326171875
10055.9275834696,2186.84252929688
10111.485194428,2188.93359375
10167.0428053864,2193.53002929688
10222.6004163448,2201.80126953125
10278.1580273032,2204.939453125
10333.7156382616,2204.25512695312
10389.2732492199,2205.16625976562
10444.8308601783,2209.75805664062
10500.3884711367,2213.02758789062
10555.9460820951,2212.95532226562
10611.5036930535,2227.1640625
10667.0613040119,2223.46728515625
10722.6189149703,2225.12182617188
10778.1765259287,2226.89697265625
10833.7341368871,2228.59350585938
10889.2917478455,2219.62744140625
10944.8493588039,2217.88403320312
11000.4069697623,2220.9501953125
11055.9645807207,2225.24536132812
11111.5221916791,2223.48803710938
11167.0798026375,2219.22583007812
11222.6374135959,2216.08764648438
11278.1950245543,2208.32446289062
11333.7526355127,2190.9033203125
11389.3102464711,2177.83740234375
11444.8678574295,2183.45922851562
11500.4254683879,2176.21899414062
11555.9830793463,2181.458984375
11611.5406903046,2182.07275390625
11667.098301263,2182.86889648438
11722.6559122214,2192.74926757812
11778.2135231798,2183.10522460938
11833.7711341382,2178.43579101562
11889.3287450966,2177.78149414062
11944.886356055,2173.82153320312
12000.4439670134,2162.25390625
12056.0015779718,2160.87744140625
12111.5591889302,2160.46020507812
12167.1167998886,2154.67260742188
12222.674410847,2145.04418945312
12278.2320218054,2150.73071289062
12333.7896327638,2152.10791015625
12389.3472437222,2153.91796875
12444.9048546806,2149.607421875
12500.462465639,2147.16650390625
12556.0200765974,2146.54565429688
12611.5776875558,2144.0244140625
12667.1352985142,2144.4833984375
12722.6929094726,2147.96752929688
12778.250520431,2150.56323242188
12833.8081313893,2146.03955078125
12889.3657423477,2140.76049804688
12944.9233533061,2132.43115234375
13000.4809642645,2124.25634765625
13056.0385752229,2111.69580078125
13111.5961861813,2106.37475585938
13167.1537971397,2096.04833984375
13222.7114080981,2085.5849609375
13278.2690190565,2076.31225585938
13333.8266300149,2070.24755859375
13389.3842409733,2065.9892578125
13444.9418519317,2062.27856445312
13500.4994628901,2057.59545898438
13556.0570738485,2056.18041992188
13611.6146848069,2048.13232421875
13667.1722957653,2038.19128417969
13722.7299067237,2035.11169433594
13778.2875176821,2030.60717773438
13833.8451286405,2027.18420410156
13889.4027395989,2022.51599121094
13944.9603505573,2011.69848632812
14000.5179615157,2009.39294433594
14056.075572474,1995.46630859375
14111.6331834324,1989.01989746094
14167.1907943908,1983.13403320312
14222.7484053492,1974.05883789062
14278.3060163076,1968.38684082031
14333.863627266,1965.44738769531
14389.4212382244,1962.90673828125
14444.9788491828,1950.927734375
14500.5364601412,1944.02612304688
14556.0940710996,1935.63879394531
14611.651682058,1929.54272460938
14667.2092930164,1927.25964355469
14722.7669039748,1920.42150878906
14778.3245149332,1917.90942382812
14833.8821258916,1910.77380371094
14889.43973685,1904.044921875
14944.9973478084,1891.95092773438
15000.5549587668,1884.72619628906
15056.1125697252,1883.77770996094
15111.6701806836,1876.33044433594
15167.227791642,1873.55322265625
15222.7854026004,1864.89184570312
15278.3430135587,1863.52368164062
15333.9006245171,1854.08349609375
15389.4582354755,1850.08776855469
15445.0158464339,1842.5166015625
15500.5734573923,1836.92553710938
15556.1310683507,1833.54541015625
15611.6886793091,1835.23193359375
15667.2462902675,1825.20166015625
15722.8039012259,1816.77185058594
15778.3615121843,1807.53625488281
15833.9191231427,1802.50280761719
15889.4767341011,1796.306640625
15945.0343450595,1791.55798339844
16000.5919560179,1787.18518066406
16056.1495669763,1772.41003417969
16111.7071779347,1774.34301757812
16167.2647888931,1769.9443359375
16222.8223998515,1766.07104492188
16278.3800108099,1763.75524902344
16333.9376217683,1757.92565917969
16389.4952327267,1752.79125976562
16445.0528436851,1747.30834960938
16500.6104546434,1739.84204101562
16556.1680656018,1734.26574707031
16611.7256765602,1730.7294921875
16667.2832875186,1726.51330566406
16722.840898477,1721.59838867188
16778.3985094354,1717.26708984375
16833.9561203938,1719.00402832031
16889.5137313522,1706.31164550781
16945.0713423106,1693.40258789062
17000.628953269,1693.72082519531
17056.1865642274,1692.74731445312
17111.7441751858,1689.88232421875
17167.3017861442,1685.81042480469
17222.8593971026,1683.37524414062
17278.417008061,1680.73083496094
17333.9746190194,1679.32653808594
17389.5322299778,1672.36437988281
17445.0898409362,1668.06713867188
17500.6474518946,1657.80981445312
17556.205062853,1653.43310546875
17611.7626738114,1643.07873535156
17667.3202847698,1628.63671875
17722.8778957281,1614.04541015625
17778.4355066865,1604.43933105469
17833.9931176449,1600.6552734375
17889.5507286033,1595.83569335938
17945.1083395617,1588.80505371094
18000.6659505201,1581.63049316406
18056.2235614785,1580.58227539062
18111.7811724369,1581.17541503906
18167.3387833953,1577.82360839844
18222.8963943537,1583.94641113281
18278.4540053121,1587.05883789062
18334.0116162705,1580.40612792969
18389.5692272289,1574.22290039062
18445.1268381873,1567.57141113281
18500.6844491457,1561.48986816406
