"distance_m","elevation_m"
0,1059.97253417969
49.7153751339693,1069.23315429688
99.4307502679385,1070.5078125
149.146125401908,1066.5234375
198.861500535877,1069.02185058594
248.576875669846,1070.21423339844
298.292250803816,1070.28869628906
348.007625937785,1072.18811035156
397.723001071754,1074.30798339844
447.438376205723,1076.70837402344
497.153751339693,1080.06958007812
546.869126473662,1085.13317871094
596.584501607631,1084.31823730469
646.2998767416,1085.10144042969
696.01525187557,1087.40881347656
745.730627009539,1085.04370117188
795.446002143508,1089.97631835938
845.161377277477,1087.4736328125
894.876752411447,1089.3349609375
944.592127545416,1087.57312011719
994.307502679385,1085.28344726562
1044.02287781335,1082.09033203125
1093.73825294732,1079.29638671875
1143.45362808129,1080.02490234375
1193.16900321526,1084.41662597656
1242.88437834923,1084.67626953125
1292.5997534832,1088.07629394531
1342.31512861717,1093.34545898438
1392.03050375114,1098.33715820312
1441.74587888511,1100.88537597656
1491.46125401908,1107.80798339844
1541.17662915305,1113.63244628906
1590.89200428702,1116.33996582031
1640.60737942099,1119.24084472656
1690.32275455495,1125.94274902344
1740.03812968892,1127.88208007812
1789.75350482289,1132.08093261719
1839.46887995686,1130.47802734375
1889.18425509083,1131.71020507812
1938.8996302248,1134.03161621094
1988.61500535877,1133.25415039062
2038.33038049274,1139.28857421875
2088.04575562671,1140.80029296875
2137.76113076068,1145.1787109375
2187.47650589465,1145.76208496094
2237.19188102862,1148.71508789062
2286.90725616259,1149.32507324219
2336.62263129656,1152.755859375
2386.33800643052,1154.27770996094
2436.05338156449,1159.13330078125
2485.76875669846,1161.98706054688
2535.48413183243,1167.84643554688
2585.1995069664,1171.85522460938
2634.91488210037,1171.43029785156
2684.63025723434,1172.267578125
2734.34563236831,1175.49291992188
2784.06100750228,1175.46936035156
2833.77638263625,1179.68151855469
2883.49175777022,1183.12890625
2933.20713290419,1187.64855957031
2982.92250803816,1190.87426757812
3032.63788317212,1193.37097167969
3082.35325830609,1197.43151855469
3132.06863344006,1201.44921875
3181.78400857403,1202.28186035156
3231.499383708,1204.00244140625
3281.21475884197,1209.25341796875
3330.93013397594,1213.83349609375
3380.64550910991,1215.55883789062
3430.36088424388,1219.1279296875
3480.07625937785,1222.98364257812
3529.79163451182,1222.07946777344
3579.50700964579,1227.73510742188
3629.22238477976,1228.07434082031
3678.93775991372,1230.11108398438
3728.65313504769,1230.7607421875
3778.36851018166,1232.37756347656
3828.08388531563,1227.16003417969
3877.7992604496,1229.66735839844
3927.51463558357,1228.85168457031
3977.23001071754,1235.53991699219
4026.94538585151,1241.06884765625
4076.66076098548,1242.27551269531
4126.37613611945,1240.87255859375
4176.09151125342,1246.42651367188
4225.80688638739,1245.30249023438
4275.52226152136,1248.58581542969
4325.23763665533,1251.71276855469
4374.95301178929,1251.306640625
4424.66838692326,1251.57409667969
4474.38376205723,1252.34655761719
4524.0991371912,1254.13049316406
4573.81451232517,1262.2607421875
4623.52988745914,1261.10205078125
4673.24526259311,1263.40881347656
4722.96063772708,1267.32995605469
4772.67601286105,1269.10412597656
4822.39138799502,1272.64831542969
4872.10676312899,1278.17858886719
4921.82213826296,1280.12060546875
4971.53751339693,1283.62170410156
5021.25288853089,1291.32470703125
5070.96826366486,1295.28039550781
5120.68363879883,1294.35852050781
5170.3990139328,1299.89392089844
5220.11438906677,1307.08618164062
5269.82976420074,1311.64050292969
5319.54513933471,1315.79406738281
5369.26051446868,1311.12084960938
5418.97588960265,1315.2861328125
5468.69126473662,1321.03735351562
5518.40663987059,1313.20678710938
5568.12201500456,1314.55493164062
5617.83739013853,1318.20166015625
5667.55276527249,1319.54052734375
5717.26814040646,1319.9619140625
5766.98351554043,1327.94616699219
5816.6988906744,1329.96667480469
5866.41426580837,1326.77136230469
5916.12964094234,1323.94421386719
5965.84501607631,1323.39270019531
6015.56039121028,1318.98571777344
6065.27576634425,1320.35876464844
6114.99114147822,1324.61254882812
6164.70651661219,1320.60180664062
6214.42189174616,1317.96435546875
6264.13726688013,1312.21215820312
6313.8526420141,1307.23120117188
6363.56801714806,1306.73461914062
6413.28339228203,1305.91467285156
6462.998767416,1307.8544921875
6512.71414254997,1311.11669921875
6562.42951768394,1308.54724121094
6612.14489281791,1310.14819335938
6661.86026795188,1309.32287597656
6711.57564308585,1310.32006835938
6761.29101821982,1311.38391113281
6811.00639335379,1311.6767578125
6860.72176848776,1316.51501464844
6910.43714362173,1318.02526855469
6960.1525187557,1319.05639648438
7009.86789388966,1323.65112304688
7059.58326902363,1327.72119140625
7109.2986441576,1327.98010253906
7159.01401929157,1333.35009765625
7208.72939442554,1336.89575195312
7258.44476955951,1341.716796875
7308.16014469348,1344.41259765625
7357.87551982745,1345.55590820312
7407.59089496142,1350.55187988281
7457.30627009539,1348.92858886719
7507.02164522936,1347.47509765625
7556.73702036333,1345.77307128906
7606.4523954973,1347.37048339844
7656.16777063126,1344.02624511719
7705.88314576523,1339.86242675781
7755.5985208992,1341.60668945312
7805.31389603317,1339.4306640625
7855.02927116714,1337.34558105469
7904.74464630111,1334.80920410156
7954.46002143508,1330.29858398438
8004.17539656905,1336.2275390625
8053.89077170302,1332.4013671875
8103.60614683699,1335.11877441406
8153.32152197096,1340.06457519531
8203.03689710493,1336.55065917969
8252.7522722389,1336.66650390625
8302.46764737287,1332.18127441406
8352.18302250684,1334.72180175781
8401.8983976408,1330.8359375
8451.61377277477,1327.51037597656
8501.32914790874,1320.65234375
8551.04452304271,1320.11218261719
8600.75989817668,1323.87365722656
8650.47527331065,1328.42297363281
8700.19064844462,1322.53918457031
8749.90602357859,1319.38305664062
8799.62139871256,1318.07641601562
8849.33677384653,1313.03564453125
8899.0521489805,1310.75964355469
8948.76752411447,1304.36267089844
8998.48289924843,1299.92456054688
9048.1982743824,1298.24438476562
9097.91364951637,1296.53869628906
9147.62902465034,1301.67431640625
9197.34439978431,1292.36547851562
9247.05977491828,1292.92492675781
9296.77515005225,1292.09582519531
9346.49052518622,1291.96057128906
9396.20590032019,1289.43103027344
9445.92127545416,1289.99609375
9495.63665058813,1286.94653320312
9545.3520257221,1285.64697265625
9595.06740085607,1284.09240722656
9644.78277599004,1285.24780273438
