"distance_m","elevation_m"
0,1171.59521484375
55.3762701743906,1171.76684570312
110.752540348781,1166.20446777344
166.128810523172,1158.90319824219
221.505080697562,1158.69140625
276.881350871953,1158.71960449219
332.257621046343,1160.14282226562
387.633891220734,1161.05493164062
443.010161395124,1160.66979980469
498.386431569515,1158.78112792969
553.762701743906,1157.33654785156
609.138971918296,1156.76025390625
664.515242092687,1156.44995117188
719.891512267077,1156.27600097656
775.267782441468,1156.15222167969
830.644052615858,1156.07458496094
886.020322790249,1155.90112304688
941.39659296464,1155.46411132812
996.77286313903,1155.068359375
1052.14913331342,1156.19348144531
1107.52540348781,1157.97485351562
1162.9016736622,1158.23217773438
1218.27794383659,1156.25537109375
1273.65421401098,1154.83239746094
1329.03048418537,1153.19677734375
1384.40675435976,1152.1728515625
1439.78302453415,1154.1220703125
1495.15929470855,1156.24353027344
1550.53556488294,1157.41259765625
1605.91183505733,1157.40637207031
1661.28810523172,1157.99853515625
1716.66437540611,1155.93701171875
1772.0406455805,1154.20983886719
1827.41691575489,1152.74230957031
1882.79318592928,1151.04321289062
1938.16945610367,1150.46606445312
1993.54572627806,1153.68786621094
2048.92199645245,1156.89074707031
2104.29826662684,1160.23254394531
2159.67453680123,1163.29699707031
2215.05080697562,1165.8388671875
2270.42707715001,1169.42395019531
2325.8033473244,1172.88989257812
2381.17961749879,1175.93237304688
2436.55588767318,1179.14807128906
2491.93215784758,1182.72216796875
2547.30842802197,1189.376953125
2602.68469819636,1196.77917480469
2658.06096837075,1204.20617675781
2713.43723854514,1209.08923339844
2768.81350871953,1207.26574707031
2824.18977889392,1207.55993652344
2879.56604906831,1207.88745117188
2934.9423192427,1209.15979003906
2990.31858941709,1199.56384277344
3045.69485959148,1198.84240722656
3101.07112976587,1197.86389160156
3156.44739994026,1195.81115722656
3211.82367011465,1205.36938476562
3267.19994028904,1213.11633300781
3322.57621046343,1221.89794921875
3377.95248063782,1224.45422363281
3433.32875081221,1217.95153808594
3488.70502098661,1226.85668945312
3544.081291161,1233.86450195312
3599.45756133539,1248.3857421875
3654.83383150978,1255.59423828125
3710.21010168417,1255.97912597656
3765.58637185856,1267.87561035156
3820.96264203295,1270.43493652344
3876.33891220734,1272.41821289062
3931.71518238173,1280.61328125
3987.09145255612,1293.91687011719
4042.46772273051,1301.13146972656
4097.8439929049,1308.84973144531
4153.22026307929,1318.62683105469
4208.59653325368,1326.81860351562
4263.97280342807,1329.46032714844
4319.34907360246,1330.66625976562
4374.72534377685,1336.36694335938
4430.10161395124,1344.037109375
4485.47788412564,1351.98547363281
4540.85415430003,1366.69665527344
4596.23042447442,1371.95581054688
4651.60669464881,1374.74035644531
4706.9829648232,1382.92700195312
4762.35923499759,1391.02087402344
4817.73550517198,1401.01989746094
4873.11177534637,1405.19519042969
4928.48804552076,1411.47534179688
4983.86431569515,1419.36791992188
5039.24058586954,1428.62243652344
5094.61685604393,1437.13354492188
5149.99312621832,1439.71044921875
5205.36939639271,1438.82739257812
5260.7456665671,1444.458984375
5316.12193674149,1458.33544921875
5371.49820691588,1464.44860839844
5426.87447709027,1471.77087402344
5482.25074726467,1478.96313476562
5537.62701743906,1488.55163574219
5593.00328761345,1494.990234375
5648.37955778784,1505.04663085938
5703.75582796223,1510.56726074219
5759.13209813662,1516.36328125
5814.50836831101,1524.88598632812
5869.8846384854,1534.66137695312
5925.26090865979,1541.41064453125
5980.63717883418,1548.0537109375
6036.01344900857,1557.67468261719
6091.38971918296,1564.61010742188
6146.76598935735,1571.98303222656
6202.14225953174,1575.69555664062
6257.51852970613,1581.70678710938
6312.89479988052,1589.86706542969
6368.27107005492,1597.53942871094
6423.6473402293,1603.75244140625
6479.0236104037,1609.58850097656
6534.39988057809,1617.08728027344
6589.77615075248,1621.44665527344
6645.15242092687,1625.35815429688
6700.52869110126,1632.76550292969
6755.90496127565,1639.02526855469
6811.28123145004,1644.29333496094
6866.65750162443,1649.11535644531
6922.03377179882,1652.99890136719
6977.41004197321,1659.22619628906
7032.7863121476,1666.19372558594
7088.16258232199,1672.99658203125
7143.53885249638,1678.59045410156
7198.91512267077,1686.09741210938
7254.29139284516,1688.73840332031
7309.66766301955,1688.87622070312
7365.04393319395,1680.9248046875
7420.42020336834,1678.78356933594
7475.79647354273,1684.38842773438
7531.17274371712,1682.23327636719
7586.54901389151,1695.19458007812
7641.9252840659,1707.25793457031
7697.30155424029,1712.62438964844
7752.67782441468,1719.28588867188
7808.05409458907,1721.1162109375
