"distance_m","elevation_m"
0,2617.2802734375
64.0668584886747,2613.23217773438
128.133716977349,2613.09643554688
192.200575466024,2612.05932617188
256.267433954699,2611.84521484375
320.334292443373,2611.51123046875
384.401150932048,2611.88916015625
448.468009420723,2611.99389648438
512.534867909397,2611.8515625
576.601726398072,2610.86376953125
640.668584886747,2610.3642578125
704.735443375421,2611.3466796875
768.802301864096,2611.09838867188
832.869160352771,2612.513671875
896.936018841446,2612.41870117188
961.00287733012,2615.32250976562
1025.06973581879,2620.88232421875
1089.13659430747,2626.49633789062
1153.20345279614,2634.78784179688
1217.27031128482,2640.40649414062
1281.33716977349,2643.82275390625
1345.40402826217,2650.90356445312
1409.47088675084,2657.50903320312
1473.53774523952,2656.80224609375
1537.60460372819,2662.1533203125
1601.67146221687,2665.34985351562
1665.73832070554,2663.1328125
1729.80517919422,2659.89306640625
1793.87203768289,2649.60913085938
1857.93889617157,2639.95825195312
1922.00575466024,2634.69946289062
1986.07261314892,2624.2705078125
2050.13947163759,2615.74560546875
2114.20633012626,2618.18823242188
2178.27318861494,2620.17456054688
2242.34004710361,2621.21411132812
2306.40690559229,2627.94750976562
2370.47376408096,2638.78271484375
2434.54062256964,2651.328125
2498.60748105831,2665.50732421875
2562.67433954699,2679.77221679688
2626.74119803566,2694.39404296875
2690.80805652434,2708.0322265625
2754.87491501301,2718.49047851562
2818.94177350169,2731.45556640625
2883.00863199036,2744.60375976562
2947.07549047904,2754.96728515625
3011.14234896771,2764.66674804688
3075.20920745638,2772.32543945312
3139.27606594506,2777.49072265625
3203.34292443373,2785.89965820312
3267.40978292241,2787.83178710938
3331.47664141108,2789.21630859375
3395.54349989976,2788.64501953125
3459.61035838843,2785.63671875
3523.67721687711,2783.46704101562
3587.74407536578,2776.5556640625
3651.81093385446,2775.59716796875
3715.87779234313,2777.37646484375
3779.94465083181,2781.09594726562
3844.01150932048,2784.546875
3908.07836780916,2788.22924804688
3972.14522629783,2791.98193359375
4036.2120847865,2793.04150390625
4100.27894327518,2791.71606445312
